SalesRep;Date;Revenue;Client ID;Client's First Invoice Date;Client's Category;Client's Country
John;05/01/2018;55;14XXXXXX;05/01/2018;B;Italy
John;08/01/2018;88;2XXXXXX;27/12/2016;B;Germany
John;21/01/2018;47;2XXXXXX;27/12/2016;B;Germany
John;29/01/2018;96;20XXXXXX;30/11/2017;B;Italy
John;04/02/2018;104;13XXXXXX;04/02/2018;B;Spain
John;08/02/2018;200;4XXXXXX;18/07/2016;A;Hong-Kong
John;23/02/2018;112;12XXXXXX;07/08/2016;A;UK
John;05/03/2018;8;11XXXXXX;05/03/2017;B;Germany
John;18/03/2018;126;7XXXXXX;18/03/2018;A;France
John;28/03/2018;37;13XXXXXX;04/02/2018;B;Spain
John;08/04/2018;101;19XXXXXX;08/04/2018;A;Mexico
John;10/04/2018;149;16XXXXXX;08/06/2017;B;Portugal
John;19/04/2018;32;13XXXXXX;04/02/2018;B;Spain
John;23/04/2018;55;11XXXXXX;05/03/2017;B;Germany
John;28/04/2018;154;17XXXXXX;28/09/2016;B;Spain
John;09/05/2018;37;14XXXXXX;05/01/2018;B;Italy
John;10/05/2018;59;8XXXXXX;10/05/2018;B;Germany
John;13/05/2018;3;21XXXXXX;15/12/2017;B;UK
John;23/05/2018;76;8XXXXXX;10/05/2018;B;Germany
John;05/06/2018;105;3XXXXXX;03/03/2017;B;Spain
John;12/06/2018;165;21XXXXXX;15/12/2017;B;UK
John;22/06/2018;186;6XXXXXX;07/03/2017;B;Italy
John;24/06/2018;91;21XXXXXX;15/12/2017;B;UK
John;05/07/2018;92;18XXXXXX;05/07/2018;B;UK
John;07/07/2018;191;14XXXXXX;05/01/2018;B;Italy
John;13/07/2018;186;15XXXXXX;02/02/2017;A;France
John;26/07/2018;12;16XXXXXX;08/06/2017;B;Portugal
John;09/08/2018;48;3XXXXXX;03/03/2017;B;Spain
John;14/08/2018;91;14XXXXXX;05/01/2018;B;Italy
John;19/08/2018;98;8XXXXXX;10/05/2018;B;Germany
John;24/08/2018;175;7XXXXXX;18/03/2018;A;France
John;25/08/2018;57;7XXXXXX;18/03/2018;A;France
John;02/09/2018;127;19XXXXXX;08/04/2018;A;Mexico
John;11/09/2018;70;14XXXXXX;05/01/2018;B;Italy
John;23/09/2018;126;1XXXXXX;23/09/2018;B;France
John;02/10/2018;89;18XXXXXX;05/07/2018;B;UK
John;08/10/2018;142;18XXXXXX;05/07/2018;B;UK
